#Dimer,MinDist,MaxDist
argon#argon,2.2,5
argon#bromide,2.3,6
argon#cesium,2.4,6
argon#chloride,2.2,6
argon#fluoride,2.4,6
argon#helium,2.5,4.7
argon#iodide,2.5,6
argon#krypton,2.3,5
argon#lithium,2,6
argon#neon,1.9,5
argon#potassium,2.7,6
argon#rubidium,2.8,6
argon#sodium,2.4,6
argon#xenon,3.2,5.4
bromide#bromide,3.4,6
bromide#chloride,3.3,6
bromide#fluoride,3,6
bromide#iodide,3.3,6
cesium#bromide,2.7,6
cesium#cesium,2.8,6
cesium#chloride,2,6
cesium#fluoride,1.9,6
cesium#iodide,2.5,6
chloride#chloride,3.1,6
chloride#fluoride,2.8,6
chloride#iodide,3.4,6
fluoride#fluoride,2.4,6
fluoride#iodide,3.3,6
helium#bromide,2.3,6
helium#cesium,2.1,6
helium#chloride,2.4,6
helium#fluoride,2.1,6
helium#helium,1.8,4.3
helium#iodide,2.6,6
helium#krypton,2.3,4.7
helium#lithium,1.6,6
helium#neon,1.8,4.55
helium#potassium,1.7,6
helium#rubidium,2,6
helium#sodium,1.6,6
helium#xenon,2.4,5.1
iodide#iodide,3.6,6
krypton#bromide,3,6
krypton#cesium,3,6
krypton#chloride,2.8,6
krypton#fluoride,2.4,6
krypton#iodide,3.2,6
krypton#krypton,3.1,4.6
krypton#lithium,2.1,6
krypton#potassium,2.8,6
krypton#rubidium,2.8,6
krypton#sodium,2.5,6
lithium#bromide,1.8,6
lithium#cesium,2.1,6
lithium#chloride,1.7,6
lithium#fluoride,1.5,6
lithium#iodide,2,6
lithium#lithium,2,6
lithium#potassium,2,6
lithium#rubidium,2,6
lithium#sodium,2,6
neon#bromide,2.6,6
neon#cesium,2.7,6
neon#chloride,2.4,6
neon#fluoride,2.2,6
neon#iodide,2.7,6
neon#krypton,2.8,5.05
neon#lithium,1.8,6
neon#neon,2.3,4.1
neon#potassium,2.3,6
neon#rubidium,2.6,6
neon#sodium,2.1,6
neon#xenon,2.8,5.45
potassium#bromide,2.5,6
potassium#cesium,2.7,6
potassium#chloride,2.3,6
potassium#fluoride,1.8,6
potassium#iodide,2.7,6
potassium#potassium,2.5,6
potassium#rubidium,2.7,6
rubidium#bromide,2.55,6
rubidium#cesium,3,6
rubidium#chloride,2.4,6
rubidium#fluoride,1.9,6
rubidium#iodide,2.8,6
rubidium#rubidium,2.8,6
sodium#bromide,2,6
sodium#cesium,2.6,6
sodium#chloride,1.9,6
sodium#fluoride,1.6,6
sodium#iodide,2.3,6
sodium#potassium,2,6
sodium#rubidium,2.2,6
sodium#sodium,2,6
xenon#bromide,2.5,6
xenon#cesium,2.8,6
xenon#chloride,2.4,6
xenon#fluoride,2.5,6
xenon#iodide,2.9,6
xenon#krypton,2.7,4.95
xenon#lithium,1.9,6
xenon#potassium,2.4,6
xenon#rubidium,2.7,6
xenon#sodium,2.3,6
xenon#xenon,2.8,5.15
